id,gender,age,significant other,household size,family relationship,free time,social activities,study time,failures,absences,health,weekday drinker,weekend drinker,drinker
168,1,16,1,1,4,2,3,2,0,0,3,1,1,0
169,1,16,0,1,5,1,5,2,0,0,4,1,1,0
170,1,16,1,1,4,4,2,2,0,0,3,1,1,0
171,0,16,0,1,3,4,5,1,2,0,2,2,4,1
172,0,16,1,1,4,3,2,2,0,2,3,1,1,0
173,0,17,0,0,4,4,4,2,0,0,5,1,3,1
174,1,16,1,1,4,3,5,2,3,0,3,1,1,0
175,1,16,0,0,4,4,5,2,0,4,4,1,1,0
176,0,17,0,0,4,4,4,2,0,4,4,4,4,1
177,1,16,0,1,3,4,4,2,0,2,5,1,4,1
178,0,17,0,1,4,3,4,2,0,4,4,1,4,1
179,0,16,1,1,4,3,3,1,0,10,3,3,4,1
180,0,17,1,1,5,2,3,2,0,4,2,1,1,0
181,0,16,0,1,3,4,3,2,0,10,3,2,3,1
182,0,16,1,1,4,2,3,2,0,2,3,1,2,0
183,1,17,0,1,5,4,2,2,0,0,5,2,3,1
184,1,17,1,0,5,3,3,2,0,56,1,2,3,1
185,1,16,0,1,1,2,2,2,0,14,1,1,2,0
186,0,17,1,1,4,3,4,2,0,12,4,2,3,1
187,0,16,1,1,3,3,3,1,0,2,3,1,2,0
188,0,16,1,0,4,2,3,2,0,0,5,1,2,0
189,1,17,1,1,3,3,3,2,0,6,3,1,3,1
190,0,17,0,1,3,1,3,2,0,4,3,1,5,1
191,1,16,0,1,4,3,3,2,0,10,2,1,1,0
192,1,17,0,1,5,3,3,2,0,0,3,1,1,0
193,0,17,0,1,4,4,4,2,0,12,5,4,5,1
194,0,16,0,1,4,3,2,1,0,8,5,3,4,1
195,0,16,0,1,5,3,3,1,0,0,3,1,1,0
196,1,17,1,0,4,3,2,2,0,0,5,1,1,0
197,0,17,0,1,5,2,3,1,0,4,5,1,2,0
198,0,16,0,0,3,3,4,1,0,8,3,3,5,1
199,1,17,0,1,4,2,4,1,1,24,2,2,3,1
200,1,16,0,0,4,5,2,2,0,0,3,1,2,0
201,1,16,0,1,4,3,5,2,0,2,2,1,5,1
202,1,16,0,1,4,4,3,2,0,6,4,1,3,1
203,1,17,0,1,4,4,4,2,0,4,1,1,3,1
204,1,17,0,1,5,3,2,1,0,18,3,1,2,0
205,1,16,0,1,5,3,5,4,0,6,5,1,1,0
206,1,17,1,1,4,4,3,3,1,28,5,3,4,1
207,1,16,0,1,2,3,3,2,3,5,4,2,2,1
208,1,16,1,1,1,3,2,2,0,10,1,1,1,0
209,1,16,0,1,4,3,2,1,0,6,5,1,4,1
210,1,17,1,1,4,4,2,3,0,6,4,1,1,0
211,1,19,0,1,4,3,3,4,0,10,3,1,2,0
212,0,17,1,0,5,3,5,2,0,13,3,4,5,1
213,1,16,0,1,3,3,4,2,0,0,4,1,1,0
214,0,18,0,1,4,4,4,2,1,15,5,2,4,1
215,1,17,0,0,5,2,1,1,0,12,3,1,2,0
216,1,17,0,0,4,4,4,2,0,2,1,1,3,1
217,1,17,1,1,3,4,5,2,2,22,1,2,4,1
218,0,18,0,0,3,2,4,2,1,13,4,2,4,1
219,1,17,0,1,3,3,3,1,0,3,3,1,4,1
220,1,17,0,1,4,3,3,3,0,4,4,1,1,0
221,1,17,0,1,4,2,5,2,0,2,5,1,2,0
222,1,17,1,1,4,3,4,3,1,0,5,1,1,0
223,1,16,0,1,2,3,1,2,0,2,3,1,1,0
224,0,18,0,1,3,3,3,2,0,0,4,5,5,1
225,1,16,0,1,5,3,2,3,0,0,5,1,1,0
226,1,18,1,1,5,3,3,2,1,16,4,1,1,0
227,1,17,0,1,5,3,4,2,0,10,3,1,3,1
228,0,17,0,0,5,3,3,2,0,2,3,1,3,1
229,0,18,1,0,4,3,2,2,0,14,3,4,5,1
230,1,17,1,1,3,2,3,3,0,10,3,1,2,0
231,1,17,1,0,3,2,3,2,0,14,3,1,2,0
232,0,17,0,1,4,5,2,2,0,4,1,1,1,0
233,0,17,1,1,4,5,5,2,0,14,2,1,3,1
234,0,16,0,1,4,2,4,2,0,2,1,2,4,1
235,0,16,0,0,3,4,2,2,0,18,5,1,1,0
236,0,16,1,1,5,3,3,3,0,10,2,1,3,1
237,0,17,1,0,4,4,2,2,0,4,4,5,5,1
238,1,16,1,1,4,5,2,1,0,20,5,1,1,0
239,1,17,0,1,2,1,1,2,0,2,3,1,1,0
240,0,18,0,1,5,5,4,2,1,0,2,3,5,1
241,0,17,1,0,2,5,5,2,0,14,5,1,4,1
242,0,17,0,0,3,3,3,2,0,2,4,2,3,1
243,0,16,0,0,5,4,5,1,0,0,3,1,1,0
244,0,16,0,1,5,3,2,1,0,0,5,1,2,0
245,1,18,1,1,4,4,4,3,0,0,3,1,1,0
246,0,16,0,1,4,3,3,1,0,6,4,1,1,0
247,0,17,0,1,5,2,2,1,0,4,2,1,1,0
248,0,22,1,1,5,4,5,1,3,16,1,5,5,1
249,0,18,1,0,4,3,3,2,1,8,5,1,3,1
250,0,16,0,1,4,3,2,1,0,0,5,2,4,1
251,0,18,0,1,4,4,5,1,1,0,5,2,4,1
252,0,16,0,1,5,3,3,2,0,6,2,1,3,1
253,0,18,0,1,3,2,5,1,1,4,5,2,5,1
254,0,16,0,1,3,3,2,1,0,0,3,1,3,1
255,0,17,0,1,4,4,2,1,0,0,5,2,4,1
256,0,17,0,0,4,4,4,1,1,2,5,1,2,0
257,1,17,0,0,4,2,3,4,0,6,4,1,1,0
258,0,19,0,0,4,3,1,2,0,12,1,1,1,0
259,0,18,0,1,5,2,4,2,0,8,4,1,2,0
260,1,17,1,0,3,4,1,4,0,0,2,1,1,0
261,1,18,1,1,3,1,2,2,0,21,2,1,3,1
262,0,18,0,1,4,3,2,2,0,2,3,1,1,0
263,0,18,0,1,5,3,2,3,0,1,3,1,1,0
264,1,17,0,1,3,2,3,3,0,4,4,1,1,0
265,1,18,1,1,4,3,3,3,0,0,3,1,1,0
266,0,18,0,0,4,2,5,2,0,13,1,3,4,1
267,0,17,1,1,5,4,4,2,0,2,5,3,4,1
268,1,18,0,1,4,3,4,2,0,8,4,2,2,1
269,0,18,1,1,5,4,5,2,0,10,5,1,3,1
270,1,18,1,1,4,3,5,2,0,0,3,1,2,0
271,1,19,0,1,4,3,5,2,2,15,5,3,3,1
272,1,18,1,1,4,5,5,4,0,4,2,1,3,1
273,1,18,0,0,4,4,3,2,0,2,3,1,1,0
274,0,17,1,1,3,5,2,2,0,2,1,2,2,1
275,1,17,1,1,4,3,3,2,0,2,1,1,1,0
276,1,17,1,0,4,4,4,2,0,6,5,2,3,1
277,1,18,1,1,4,1,1,2,0,75,5,1,1,0
278,0,18,0,1,3,2,4,1,0,22,3,1,4,1
279,1,18,1,1,2,4,4,2,1,15,4,1,1,0
280,0,18,0,0,4,2,3,1,0,8,1,1,2,0
281,0,17,1,0,4,5,4,1,0,30,5,2,4,1
282,0,17,0,0,4,4,4,1,1,19,3,3,4,1
283,1,18,0,0,5,2,2,4,0,1,3,1,1,0
284,1,18,0,1,5,4,4,2,0,4,4,1,1,0
285,1,17,0,1,5,4,5,2,0,4,5,1,2,0
286,0,17,0,1,4,3,3,2,0,2,4,1,2,0
287,1,18,0,1,4,3,3,3,0,5,2,1,2,0
288,1,17,0,1,4,3,3,3,0,6,3,1,1,0
289,0,18,0,1,4,2,4,3,0,6,2,1,3,1
290,0,18,0,0,5,4,3,2,0,9,2,1,1,0
291,0,18,1,1,4,3,2,2,0,11,5,1,4,1
292,1,17,0,1,4,2,2,3,0,0,3,1,2,0
293,1,18,1,0,5,4,3,2,1,12,5,1,1,0
294,1,17,0,0,3,1,2,4,0,6,3,1,1,0
295,0,18,0,0,5,4,2,3,0,8,4,1,1,0
296,0,17,0,1,4,4,3,1,0,4,5,1,3,1
297,1,19,0,1,2,3,4,2,0,0,2,2,3,1
298,1,18,1,0,4,4,5,2,0,10,2,1,2,0
299,1,18,0,1,4,3,3,4,0,0,3,1,1,0
300,0,18,1,0,1,4,2,1,0,5,1,2,2,1
301,1,18,1,0,4,2,4,2,0,14,4,1,1,0
302,0,17,0,0,4,1,1,1,0,0,5,2,2,1
303,1,17,0,1,4,3,3,3,0,0,3,1,1,0
304,1,17,0,1,5,2,2,4,0,0,5,1,2,0
305,0,19,1,1,4,4,4,2,1,20,3,1,1,0
306,1,18,0,1,4,4,3,2,1,8,3,1,1,0
307,0,20,0,1,5,5,3,1,0,0,5,1,1,0
308,0,19,1,1,4,3,4,1,1,38,4,1,1,0
309,0,19,1,1,4,5,3,2,1,0,5,1,2,0
310,1,19,0,0,4,4,3,2,1,18,3,1,3,1
311,1,19,1,0,4,2,4,2,1,0,3,2,2,1
312,1,19,1,1,3,4,1,2,0,20,2,1,1,0
313,0,19,0,1,4,5,2,2,1,3,4,2,2,1
314,1,19,1,0,4,2,2,2,1,22,1,1,2,0
315,1,19,1,1,4,1,2,3,2,14,3,1,1,0
316,1,19,1,1,4,1,2,3,1,40,3,1,1,0
317,1,18,0,1,5,3,3,2,0,0,1,1,2,0
318,1,18,1,1,4,3,4,3,0,9,5,1,1,0
319,1,17,0,1,4,3,4,3,0,0,5,2,5,1
320,1,18,0,1,4,4,4,2,0,2,5,3,3,1
321,1,17,1,1,5,2,2,2,0,23,5,1,2,0
322,1,17,1,1,4,2,2,2,0,12,3,1,1,0
323,1,17,0,0,3,3,2,3,0,3,3,2,2,1
324,1,17,0,1,3,4,3,3,0,1,5,2,3,1
325,1,17,0,0,3,3,3,3,0,0,2,2,3,1
326,0,18,0,1,4,3,3,3,0,3,3,2,2,1
327,0,17,0,1,4,3,5,1,0,3,5,3,5,1
328,0,17,0,1,4,4,5,1,0,8,4,5,5,1
329,1,17,0,1,5,4,4,3,0,7,4,1,3,1
330,1,17,1,1,4,3,3,3,0,4,4,1,2,0
331,0,18,0,0,4,5,5,4,0,2,5,2,4,1
332,1,17,1,1,4,4,3,3,0,7,5,1,1,0
333,1,18,0,1,5,3,4,2,0,0,4,1,1,0
334,1,18,1,0,4,3,3,2,0,0,2,1,1,0
335,1,18,0,1,4,4,4,4,0,0,4,1,1,0
336,1,17,0,1,4,4,5,3,0,16,5,1,3,1
337,1,19,0,1,5,4,3,3,1,12,5,1,2,0
338,1,17,1,1,4,3,2,2,0,0,2,2,3,1
339,1,18,0,0,5,3,3,4,0,7,1,1,1,0
340,1,17,0,1,4,3,3,2,0,4,2,2,3,1
341,1,19,1,1,4,3,4,3,1,4,3,1,3,1
342,0,18,0,1,4,3,3,2,1,0,2,2,2,1
343,0,18,1,0,4,3,3,2,0,11,5,1,3,1
344,1,17,1,1,3,3,1,2,1,0,4,1,2,0
345,1,18,0,1,4,3,3,3,0,4,3,1,2,0
346,1,18,1,1,5,4,3,3,0,7,1,2,3,1
347,0,18,1,1,5,3,2,3,0,9,4,1,2,0
348,0,18,1,1,5,4,5,3,0,0,5,2,3,1
349,1,17,1,1,4,4,3,3,0,0,4,1,3,1
350,0,18,0,1,2,5,5,1,1,10,5,5,5,1
351,0,19,0,1,5,4,4,2,3,8,2,3,3,1
352,0,17,0,1,4,5,4,2,0,2,3,2,3,1
353,0,18,1,0,4,3,3,1,1,7,3,2,3,1
354,0,19,0,1,4,4,4,1,1,4,5,3,3,1
355,0,17,1,1,4,5,5,2,0,4,2,1,3,1
356,1,18,1,1,5,3,4,2,0,0,5,1,1,0
357,1,17,0,1,4,3,3,2,0,4,5,1,2,0
358,1,17,1,0,1,2,3,2,0,2,5,1,2,0
359,0,18,1,0,3,3,2,1,0,4,3,1,2,0
360,1,18,0,0,5,3,2,3,0,0,4,1,1,0
361,1,18,1,0,4,3,4,2,0,0,5,1,4,1
362,0,18,0,0,4,4,3,2,1,2,5,2,3,1
363,1,18,1,1,4,3,2,2,0,0,3,1,3,1
364,1,17,1,0,2,3,4,2,0,0,1,1,1,0
365,1,17,0,1,3,2,2,2,0,0,3,1,2,0
366,0,18,0,1,3,3,4,2,0,4,3,2,4,1
367,0,18,1,0,4,2,2,3,0,0,5,2,2,1
368,1,17,1,1,5,2,1,1,1,0,1,1,2,0
369,1,18,1,1,5,2,3,1,0,0,4,1,2,0
370,1,18,1,1,3,2,2,2,0,10,5,4,2,1
371,1,19,1,0,3,2,2,2,2,4,3,1,1,0
372,0,18,1,0,4,3,3,1,0,3,3,2,3,1
373,1,17,1,1,3,4,3,3,0,8,3,1,1,0
374,1,17,0,1,3,5,5,1,0,14,1,1,3,1
375,1,18,0,0,5,4,4,3,0,0,1,1,1,0
376,1,18,0,1,4,3,2,3,0,2,4,1,2,0
377,1,20,1,1,5,4,3,3,2,4,3,1,1,0
378,1,18,0,0,5,4,3,2,0,4,2,3,4,1
379,1,18,1,1,4,1,3,2,0,0,1,1,2,0
380,1,17,0,1,4,5,4,2,0,17,1,2,3,1
381,0,18,0,1,3,2,4,2,0,4,2,1,4,1
382,0,18,1,1,4,4,3,1,0,5,5,1,3,1
383,0,17,0,1,4,4,3,2,0,2,3,1,1,0
384,0,19,0,1,4,3,2,1,1,0,5,1,3,1
385,0,18,0,1,5,4,3,1,1,14,3,4,3,1
386,1,18,0,1,5,3,3,3,0,2,4,1,3,1
387,1,18,1,1,4,4,3,1,0,7,5,2,2,1
388,1,19,0,1,5,4,2,3,1,0,5,1,2,0
389,1,18,0,0,4,3,4,2,0,0,1,1,1,0
390,1,18,0,1,1,1,1,2,1,0,5,1,1,0
391,0,20,0,0,5,5,4,2,2,11,4,4,5,1
392,0,17,0,0,2,4,5,1,0,3,2,3,4,1
393,0,21,0,1,5,5,3,1,3,3,3,3,3,1
394,0,18,0,0,4,4,1,1,0,0,5,3,4,1
395,0,19,0,0,3,2,3,1,0,5,5,3,3,1
396,1,18,0,1,4,3,4,2,0,4,3,1,1,0
397,1,17,0,1,5,3,3,2,0,2,3,1,1,0
398,1,15,0,0,4,3,2,2,0,6,3,2,3,1
399,1,15,1,1,3,2,2,3,0,0,5,1,1,0
400,1,16,0,1,4,3,2,2,0,0,5,1,2,0
401,0,16,0,0,5,4,2,2,0,6,5,1,2,0
402,0,16,0,0,4,4,4,2,0,0,3,1,1,0
403,1,17,0,1,4,1,4,2,0,2,1,1,1,0
404,0,15,0,0,4,2,2,2,0,0,1,1,1,0
405,0,15,0,1,5,5,1,2,0,0,5,1,1,0
406,1,15,0,1,3,3,3,2,0,2,2,1,2,0
407,1,15,0,1,5,2,2,3,0,0,4,1,1,0
408,0,15,0,0,4,3,3,1,0,0,5,1,3,1
409,0,15,0,1,5,4,3,2,0,0,3,1,2,0
410,0,15,1,1,4,5,2,3,0,0,3,1,1,0
411,1,16,0,1,4,4,4,1,0,6,2,1,2,0
412,1,16,0,1,3,2,3,3,0,10,2,1,2,0
413,1,16,0,1,5,3,2,2,0,2,4,1,1,0
414,0,17,0,1,5,5,5,1,3,2,5,2,4,1
415,0,16,0,0,3,1,3,1,0,6,5,1,3,1
416,0,15,0,1,4,4,1,2,0,0,1,1,1,0
417,0,15,0,1,5,4,2,1,0,0,5,1,1,0
418,0,16,0,0,4,5,1,2,0,0,5,1,3,1
419,0,16,0,0,5,4,4,2,0,2,5,2,4,1
420,1,15,0,1,4,3,2,3,0,2,5,1,1,0
421,1,16,0,1,1,2,2,1,0,6,5,1,3,1
422,0,15,0,1,4,2,2,1,0,8,5,1,2,0
423,0,15,0,1,2,2,4,1,0,0,1,2,4,1
424,0,16,0,0,5,3,3,2,0,2,5,1,1,0
425,0,16,1,1,4,4,5,2,0,4,5,5,5,1
426,0,15,0,1,5,4,2,2,0,0,5,3,4,1
427,0,15,0,1,4,3,1,2,0,2,5,1,1,0
428,0,15,1,1,4,5,2,2,0,0,5,1,1,0
429,0,15,0,0,5,3,2,2,0,0,2,1,1,0
430,0,16,0,1,5,4,3,1,0,4,5,1,1,0
431,1,15,0,1,3,5,1,1,0,4,5,1,1,0
432,0,15,0,0,5,4,3,3,0,0,4,1,1,0
433,0,16,1,1,2,4,3,3,0,4,5,1,1,0
434,1,15,0,1,4,3,2,3,0,2,5,1,1,0
435,1,15,0,1,4,3,1,1,0,8,2,1,1,0
436,1,16,1,0,3,3,3,2,0,16,3,1,2,0
437,0,15,1,0,5,4,3,1,0,8,5,2,4,1
438,0,15,0,1,4,3,3,2,0,0,5,1,1,0
439,0,15,0,1,5,4,1,1,0,0,1,1,1,0
440,1,16,0,0,4,3,3,2,1,14,5,2,2,1
441,1,15,1,0,5,2,2,2,0,4,5,1,1,0
442,1,16,0,0,2,3,5,2,0,6,3,1,4,1
443,0,16,0,1,4,2,2,4,0,2,2,1,1,0
444,0,15,0,1,4,3,3,2,0,4,5,2,2,1
445,1,15,0,1,4,4,4,2,0,2,3,1,1,0
446,1,16,0,0,4,3,3,2,0,0,4,2,3,1
447,1,15,0,0,4,3,3,2,0,0,5,1,1,0
448,0,15,0,0,5,5,5,1,0,4,5,3,4,1
449,1,15,0,1,3,3,4,1,0,0,5,2,3,1
450,1,15,0,0,5,3,4,1,0,0,1,4,4,1
451,1,16,1,1,5,3,4,2,0,2,2,1,1,0
452,1,15,0,1,4,3,2,2,0,0,1,1,1,0
453,0,15,0,1,3,2,2,2,0,8,5,1,1,0
454,0,15,0,0,4,3,2,2,0,0,5,1,1,0
455,1,16,0,1,4,2,3,2,0,2,5,1,1,0
456,1,16,0,1,2,4,4,2,0,0,4,2,3,1
457,1,16,1,1,5,5,5,1,0,0,5,5,5,1
458,1,16,0,0,4,4,3,2,0,0,1,1,1,0
459,1,16,0,1,3,4,4,3,0,0,4,2,4,1
460,1,15,1,0,4,4,4,2,0,0,2,2,4,1
461,1,16,0,0,5,4,3,2,0,2,1,1,2,0
462,0,15,1,1,1,3,3,4,0,0,3,5,5,1
463,1,16,0,1,4,3,3,4,0,0,5,1,2,0
