student,age,studytime,activities,internet,romantic,freetime,goout
191,16,2,no,yes,no,3,3
192,17,2,yes,yes,no,3,3
193,17,2,yes,yes,no,4,4
194,16,1,yes,yes,no,3,2
195,16,1,no,yes,no,3,3
196,17,2,yes,yes,yes,3,2
197,17,1,no,yes,no,2,3
198,16,1,yes,yes,no,3,4
199,17,1,no,yes,no,2,4
200,16,2,no,yes,no,5,2
201,16,2,yes,yes,no,3,5
202,16,2,yes,no,no,4,3
203,17,2,no,no,no,4,4
204,17,1,no,yes,no,3,2
205,16,4,yes,yes,no,3,5
206,17,3,no,yes,yes,4,3
207,16,2,no,yes,no,3,3
208,16,2,yes,yes,yes,3,2
209,16,1,no,no,no,3,2
210,17,3,yes,yes,yes,4,2
211,19,4,yes,yes,no,3,3
212,17,2,no,yes,yes,3,5
213,16,2,no,yes,no,3,4
214,18,2,yes,yes,no,4,4
215,17,1,no,no,no,2,1
216,17,2,no,yes,no,4,4
217,17,2,no,yes,yes,4,5
218,18,2,no,yes,no,2,4
219,17,1,no,no,no,3,3
220,17,3,yes,yes,no,3,3
221,17,2,yes,yes,no,2,5
222,17,3,yes,no,yes,3,4
223,16,2,no,yes,no,3,1
224,18,2,no,yes,no,3,3
225,16,3,yes,yes,no,3,2
226,18,2,yes,yes,yes,3,3
227,17,2,yes,yes,no,3,4
228,17,2,no,yes,no,3,3
229,18,2,yes,yes,yes,3,2
230,17,3,yes,yes,yes,2,3
231,17,2,yes,yes,yes,2,3
232,17,2,yes,yes,no,5,2
233,17,2,yes,yes,yes,5,5
234,16,2,yes,yes,no,2,4
235,16,2,no,yes,no,4,2
236,16,3,yes,yes,yes,3,3
237,17,2,yes,yes,yes,4,2
238,16,1,no,yes,yes,5,2
239,17,2,yes,no,no,1,1
240,18,2,no,yes,no,5,4
241,17,2,yes,yes,yes,5,5
242,17,2,no,yes,no,3,3
243,16,1,yes,yes,no,4,5
244,16,1,yes,yes,no,3,2
245,18,3,no,yes,yes,4,4
246,16,1,no,yes,no,3,3
247,17,1,no,yes,no,2,2
248,22,1,no,yes,yes,4,5
249,18,2,no,yes,yes,3,3
250,16,1,no,yes,no,3,2
251,18,1,no,yes,no,4,5
252,16,2,no,yes,no,3,3
253,18,1,no,yes,no,2,5
254,16,1,yes,no,no,3,2
255,17,1,no,yes,no,4,2
256,17,1,yes,yes,no,4,4
257,17,4,yes,yes,no,2,3
258,19,2,no,yes,no,3,1
259,18,2,yes,yes,no,2,4
260,17,4,yes,yes,yes,4,1
261,18,2,no,yes,yes,1,2
262,18,2,no,yes,no,3,2
263,18,3,yes,no,no,3,2
264,17,3,yes,no,no,2,3
265,18,3,yes,yes,yes,3,3
266,18,2,yes,yes,no,2,5
267,17,2,yes,yes,yes,4,4
268,18,2,yes,yes,no,3,4
269,18,2,yes,yes,yes,4,5
270,18,2,no,yes,yes,3,5
271,19,2,yes,yes,no,3,5
272,18,4,yes,yes,yes,5,5
273,18,2,no,no,no,4,3
274,17,2,yes,no,yes,5,2
275,17,2,no,yes,yes,3,3
276,17,2,no,yes,yes,4,4
277,18,2,no,yes,yes,1,1
278,18,1,yes,yes,no,2,4
279,18,2,yes,yes,yes,4,4
280,18,1,yes,yes,no,2,3
281,17,1,yes,yes,yes,5,4
282,17,1,no,yes,no,4,4
283,18,4,yes,no,no,2,2
284,18,2,yes,yes,no,4,4
285,17,2,no,yes,no,4,5
286,17,2,no,yes,no,3,3
287,18,3,no,yes,no,3,3
288,17,3,no,yes,no,3,3
289,18,3,yes,yes,no,2,4
290,18,2,yes,yes,no,4,3
291,18,2,yes,yes,yes,3,2
292,17,3,no,yes,no,2,2
293,18,2,no,yes,yes,4,3
294,17,4,no,no,no,1,2
295,18,3,yes,yes,no,4,2
296,17,1,no,yes,no,4,3
297,19,2,yes,yes,no,3,4
298,18,2,no,yes,yes,4,5
299,18,4,no,yes,no,3,3
300,18,1,no,yes,yes,4,2
301,18,2,no,yes,yes,2,4
302,17,1,no,yes,no,1,1
303,17,3,no,yes,no,3,3
304,17,4,yes,yes,no,2,2
305,19,2,yes,yes,yes,4,4
306,18,2,yes,yes,no,4,3
307,20,1,yes,no,no,5,3
308,19,1,no,yes,yes,3,4
309,19,2,yes,no,yes,5,3
310,19,2,yes,yes,no,4,3
311,19,2,yes,no,yes,2,4
312,19,2,no,yes,yes,4,1
313,19,2,no,yes,no,5,2
314,19,2,no,yes,yes,2,2
315,19,3,no,yes,yes,1,2
316,19,3,no,yes,yes,1,2
317,18,2,yes,yes,no,3,3
318,18,3,yes,yes,yes,3,4
319,17,3,yes,yes,no,3,4
320,18,2,no,yes,no,4,4
321,17,2,no,yes,yes,2,2
322,17,2,no,no,yes,2,2
323,17,3,yes,yes,no,3,2
324,17,3,no,yes,no,4,3
325,17,3,no,yes,no,3,3
326,18,3,yes,yes,no,3,3
327,17,1,yes,yes,no,3,5
328,17,1,no,yes,no,4,5
329,17,3,yes,yes,no,4,4
330,17,3,no,yes,yes,3,3
331,18,4,yes,yes,no,5,5
332,17,3,no,yes,yes,4,3
333,18,2,yes,yes,no,3,4
334,18,2,yes,yes,yes,3,3
335,18,4,yes,no,no,4,4
336,17,3,no,yes,no,4,5
337,19,3,no,no,no,4,3
338,17,2,no,yes,yes,3,2
339,18,4,no,yes,no,3,3
340,17,2,no,yes,no,3,3
341,19,3,yes,yes,yes,3,4
342,18,2,yes,yes,no,3,3
343,18,2,yes,yes,yes,3,3
344,17,2,no,yes,yes,3,1
345,18,3,no,yes,no,3,3
346,18,3,no,yes,yes,4,3
347,18,3,no,yes,yes,3,2
348,18,3,no,yes,yes,4,5
349,17,3,yes,yes,yes,4,3
350,18,1,no,yes,no,5,5
351,19,2,no,yes,no,4,4
352,17,2,no,yes,no,5,4
353,18,1,no,yes,yes,3,3
354,19,1,no,yes,no,4,4
355,17,2,yes,yes,yes,5,5
356,18,2,no,no,yes,3,4
357,17,2,yes,yes,no,3,3
358,17,2,no,no,yes,2,3
359,18,1,no,yes,yes,3,2
360,18,3,no,yes,no,3,2
361,18,2,no,no,yes,3,4
362,18,2,yes,no,no,4,3
363,18,2,no,yes,yes,3,2
364,17,2,yes,yes,yes,3,4
365,17,2,no,no,no,2,2
366,18,2,no,no,no,3,4
367,18,3,no,yes,yes,2,2
368,17,1,no,yes,yes,2,1
369,18,1,no,yes,yes,2,3
370,18,2,no,yes,yes,2,2
371,19,2,yes,no,yes,2,2
372,18,1,yes,yes,yes,3,3
373,17,3,yes,no,yes,4,3
374,17,1,yes,yes,no,5,5
375,18,3,no,yes,no,4,4
376,18,3,no,yes,no,3,2
377,20,3,no,yes,yes,4,3
378,18,2,yes,yes,no,4,3
379,18,2,no,yes,yes,1,3
380,17,2,yes,yes,no,5,4
381,18,2,yes,yes,no,2,4
382,18,1,yes,yes,yes,4,3
383,17,2,yes,yes,no,4,3
384,19,1,no,no,no,3,2
385,18,1,no,no,no,4,3
386,18,3,no,no,no,3,3
387,18,1,yes,yes,yes,4,3
388,19,3,yes,yes,no,4,2
389,18,2,no,yes,no,3,4
390,18,2,yes,no,no,1,1
391,20,2,no,no,no,5,4
392,17,1,no,yes,no,4,5
393,21,1,no,no,no,5,3
394,18,1,no,yes,no,4,1
395,19,1,no,yes,no,2,3
396,18,2,no,no,no,3,4
397,17,2,no,yes,no,3,3
398,15,2,no,yes,no,3,2
399,15,3,yes,yes,yes,2,2
400,16,2,no,no,no,3,2
401,16,2,yes,yes,no,4,2
402,16,2,no,yes,no,4,4
403,17,2,no,no,no,1,4
404,15,2,no,yes,no,2,2
405,15,2,yes,yes,no,5,1
406,15,2,no,yes,no,3,3
407,15,3,yes,yes,no,2,2
408,15,1,yes,yes,no,3,3
409,15,2,no,yes,no,4,3
410,15,3,no,yes,yes,5,2
411,16,1,no,yes,no,4,4
412,16,3,yes,yes,no,2,3
413,16,2,yes,no,no,3,2
414,17,1,yes,yes,no,5,5
415,16,1,yes,yes,no,1,3
416,15,2,no,yes,no,4,1
417,15,1,no,yes,no,4,2
418,16,2,yes,yes,no,5,1
419,16,2,yes,yes,no,4,4
420,15,3,yes,yes,no,3,2
421,16,1,no,yes,no,2,2
422,15,1,no,yes,no,2,2
423,15,1,no,yes,no,2,4
424,16,2,yes,yes,no,3,3
425,16,2,yes,yes,yes,4,5
426,15,2,no,yes,no,4,2
427,15,2,yes,yes,no,3,1
428,15,2,yes,yes,yes,5,2
429,15,2,yes,yes,no,3,2
430,16,1,no,yes,no,4,3
431,15,1,yes,no,no,5,1
432,15,3,yes,yes,no,4,3
433,16,3,yes,yes,yes,4,3
434,15,3,yes,yes,no,3,2
435,15,1,yes,no,no,3,1
436,16,2,yes,yes,yes,3,3
437,15,1,no,yes,yes,4,3
438,15,2,yes,yes,no,3,3
439,15,1,no,yes,no,4,1
440,16,2,yes,yes,no,3,3
441,15,2,yes,yes,yes,2,2
442,16,2,no,yes,no,3,5
443,16,4,yes,yes,no,2,2
444,15,2,no,no,no,3,3
445,15,2,yes,yes,no,4,4
446,16,2,no,yes,no,3,3
447,15,2,no,yes,no,3,3
448,15,1,no,no,no,5,5
449,15,1,no,yes,no,3,4
450,15,1,no,yes,no,3,4
451,16,2,yes,yes,yes,3,4
452,15,2,yes,yes,no,3,2
453,15,2,yes,no,no,2,2
454,15,2,yes,yes,no,3,2
455,16,2,no,yes,no,2,3
456,16,2,yes,no,no,4,4
457,16,1,yes,yes,yes,5,5
458,16,2,yes,yes,no,4,3
459,16,3,yes,yes,no,4,4
460,15,2,yes,yes,yes,4,4
461,16,2,yes,yes,no,4,3
462,15,4,yes,yes,yes,3,3
463,16,4,no,yes,no,3,3
464,15,2,no,yes,no,1,3
465,15,4,no,yes,no,4,2
466,16,4,no,yes,no,3,2
467,15,4,no,yes,no,3,3
468,15,2,no,yes,yes,3,4
469,16,1,yes,no,no,3,2
470,16,2,yes,yes,no,3,3
471,15,2,yes,yes,no,3,3
472,15,4,yes,yes,no,4,3
473,16,4,no,yes,yes,2,3
474,17,1,yes,yes,no,5,1
475,16,2,no,yes,no,4,3
476,15,1,yes,yes,yes,2,2
477,15,3,no,yes,no,3,2
478,15,2,no,yes,no,4,4
479,15,2,yes,yes,no,3,3
480,15,2,yes,yes,no,3,2
481,15,2,no,yes,yes,4,4
482,16,2,no,no,no,3,4
483,15,3,yes,yes,no,3,3
484,16,2,yes,yes,no,4,2
485,16,2,no,no,no,1,3
486,16,3,no,yes,yes,3,3
487,15,1,yes,yes,no,5,5
488,16,2,no,no,no,3,3
489,16,2,yes,yes,no,3,3
490,15,4,yes,yes,no,3,4
491,15,4,yes,yes,no,1,2
492,16,1,yes,yes,no,3,3
493,16,2,no,no,yes,3,5
494,16,1,yes,yes,no,3,4
495,16,3,no,yes,no,3,5
496,16,1,yes,yes,no,5,5
497,16,3,yes,yes,yes,4,3
498,15,1,yes,yes,no,3,3
499,15,2,no,yes,no,3,5
500,15,2,yes,yes,no,4,4
501,15,4,no,no,no,3,3
502,15,4,no,yes,no,1,2
503,16,3,yes,yes,no,3,3
504,15,4,yes,yes,yes,3,5
505,16,3,yes,yes,yes,4,5
506,15,1,yes,yes,no,5,3
507,16,3,yes,yes,no,1,2
508,16,2,yes,yes,no,1,2
509,15,1,no,yes,no,5,2
510,15,2,yes,yes,yes,4,2
511,16,2,yes,yes,no,4,4
512,15,2,yes,no,no,4,3
513,16,1,yes,yes,no,4,2
514,17,2,yes,yes,no,2,4
515,15,1,no,yes,no,4,3
516,15,2,no,yes,no,2,3
517,15,4,yes,yes,no,5,4
518,16,2,yes,yes,yes,2,2
519,16,1,yes,yes,no,4,4
520,16,2,no,yes,yes,4,4
521,15,1,no,yes,no,5,5
522,15,2,yes,yes,yes,3,2
523,19,2,no,no,no,4,2
524,16,1,yes,yes,no,5,5
525,16,3,no,yes,yes,2,3
526,15,3,no,yes,yes,2,2
527,18,2,yes,yes,yes,4,5
528,17,1,no,yes,no,2,2
529,15,1,yes,yes,yes,3,3
530,17,1,no,yes,yes,4,4
531,16,1,no,yes,no,2,1
532,16,1,no,no,no,2,1
533,16,1,no,no,no,3,4
534,15,2,no,no,yes,3,3
535,15,3,yes,yes,yes,3,3
536,17,2,no,no,no,4,5
537,16,2,no,no,no,1,3
538,18,1,yes,yes,yes,3,4
539,18,3,yes,yes,yes,3,3
540,16,1,yes,no,yes,3,3
541,16,1,yes,yes,yes,3,2
542,16,2,no,no,yes,4,4
543,15,1,yes,yes,no,3,2
544,15,1,yes,yes,yes,5,5
545,15,4,no,yes,no,2,2
546,15,2,no,no,yes,3,2
547,16,3,yes,yes,no,3,3
548,16,1,yes,yes,no,3,3
549,15,3,yes,yes,no,2,2
550,16,1,no,yes,no,4,4
551,17,1,no,yes,no,4,5
552,15,2,no,yes,no,4,2
553,15,1,yes,yes,yes,4,2
554,15,2,no,yes,no,3,2
555,15,2,no,yes,no,3,2
556,15,2,no,no,yes,3,4
557,16,1,no,yes,yes,3,2
558,15,1,no,yes,no,5,5
559,18,1,no,yes,yes,3,5
560,16,1,yes,no,yes,4,4
561,15,3,yes,yes,yes,2,1
562,19,1,no,yes,yes,5,4
563,17,1,no,no,yes,2,1
564,15,2,yes,no,no,4,4
565,17,1,no,no,no,2,2
566,18,1,yes,no,no,2,5
567,16,1,no,no,no,2,2
568,16,2,no,yes,yes,5,5
569,16,1,no,yes,no,4,5
570,17,1,yes,yes,yes,3,2
571,17,2,no,yes,yes,4,4
572,15,1,yes,no,no,4,4
573,16,1,no,yes,no,3,3
574,17,2,yes,no,yes,3,5
575,17,1,yes,no,no,5,2
576,16,2,no,yes,no,3,5
577,16,2,no,yes,yes,2,3
578,16,2,no,yes,no,1,5
579,16,2,no,yes,yes,4,2
580,16,1,yes,yes,no,4,5
581,16,2,yes,yes,yes,3,2
582,17,2,yes,yes,no,4,4
583,16,2,yes,yes,yes,3,5
584,16,2,yes,yes,no,4,5
585,17,2,yes,yes,no,4,4
586,16,2,yes,yes,no,4,4
587,17,2,yes,yes,no,3,4
588,16,1,yes,yes,yes,3,3
589,17,2,yes,yes,yes,2,3
590,16,2,yes,yes,no,4,3
591,16,2,yes,yes,yes,2,3
592,17,2,yes,no,no,4,2
593,17,2,yes,yes,yes,3,3
594,16,2,no,yes,no,2,2
595,17,2,yes,yes,yes,3,4
596,16,1,yes,yes,yes,3,3
597,16,2,yes,yes,yes,2,3
598,17,2,no,yes,yes,3,3
599,17,2,no,no,no,1,3
600,16,2,no,yes,no,3,3
601,17,2,yes,yes,no,3,3
602,17,2,yes,yes,no,4,4
603,16,1,yes,yes,no,3,2
604,16,1,no,yes,no,3,3
605,17,2,yes,yes,yes,3,2
606,17,1,no,yes,no,2,3
607,16,1,yes,yes,no,3,4
608,17,1,no,yes,no,2,4
609,16,2,no,yes,no,5,2
610,16,2,yes,yes,no,3,5
611,16,2,yes,no,no,4,3
612,17,2,no,no,no,4,4
613,17,1,no,yes,no,3,2
614,16,4,yes,yes,no,3,5
615,17,3,no,yes,yes,4,3
616,16,2,no,yes,no,3,3
617,16,2,yes,yes,yes,3,2
618,16,1,no,no,no,3,2
619,17,3,yes,yes,yes,4,2
620,19,4,yes,yes,no,3,3
621,17,2,no,yes,yes,3,5
622,16,2,no,yes,no,3,4
623,18,2,yes,yes,no,4,4
624,17,1,no,no,no,2,1
625,17,2,no,yes,no,4,4
626,17,2,no,yes,yes,4,5
627,18,2,no,yes,no,2,4
628,17,1,no,no,no,3,3
629,17,3,yes,yes,no,3,3
630,17,2,yes,yes,no,2,5
631,17,3,yes,no,yes,3,4
632,16,2,no,yes,no,3,1
633,18,2,no,yes,no,3,3
634,16,3,yes,yes,no,3,2
635,18,2,yes,yes,yes,3,3
636,17,2,yes,yes,no,3,4
637,17,2,no,yes,no,3,3
638,18,2,yes,yes,yes,3,2
639,17,3,yes,yes,yes,2,3
640,17,2,yes,yes,yes,2,3
641,17,2,yes,yes,no,5,2
642,17,2,yes,yes,yes,5,5
643,16,2,yes,yes,no,2,4
644,16,2,no,yes,no,4,2
645,16,3,yes,yes,yes,3,3
646,17,2,yes,yes,yes,4,2
647,16,1,no,yes,yes,5,2
648,16,2,yes,yes,yes,3,3
649,18,2,no,yes,no,3,3
650,18,2,no,yes,yes,3,1
651,18,1,no,yes,no,1,1
652,18,1,yes,yes,yes,4,3
653,17,1,yes,yes,no,2,1
654,17,2,yes,no,no,4,2
655,17,3,yes,yes,yes,3,2
656,16,1,no,yes,no,3,5
657,17,2,yes,no,no,1,1
658,17,1,no,yes,no,5,4
659,18,2,no,yes,no,5,4
660,17,1,no,yes,no,1,2
661,17,3,yes,yes,no,3,3
662,17,2,yes,no,no,3,2
663,17,2,yes,yes,yes,5,5
664,17,2,no,yes,no,3,3
665,16,1,yes,yes,no,4,5
666,16,1,yes,yes,no,3,2
667,17,2,no,yes,yes,3,1
668,17,3,no,yes,yes,3,3
669,17,3,no,yes,yes,2,2
670,17,2,no,no,yes,3,2
671,18,3,no,yes,yes,4,4
672,16,1,no,yes,no,3,3
673,17,2,no,no,no,3,4
674,17,1,no,yes,no,2,2
675,22,1,no,yes,yes,4,5
676,18,2,no,yes,yes,3,3
677,16,1,no,yes,no,3,2
678,18,1,no,yes,no,4,5
679,16,2,no,yes,no,3,3
680,18,1,no,yes,no,2,5
681,16,1,yes,no,no,3,2
682,17,1,no,yes,no,4,2
683,17,1,yes,yes,no,4,4
684,18,2,no,yes,yes,3,4
685,17,4,yes,yes,no,2,3
686,19,2,no,yes,no,3,3
687,18,2,yes,yes,no,4,5
688,17,3,yes,yes,no,3,4
689,18,3,no,no,no,4,3
690,18,2,no,no,no,2,3
691,19,2,no,yes,no,3,1
692,18,2,yes,yes,no,2,4
693,17,1,no,no,no,2,2
694,17,4,yes,yes,yes,4,1
695,20,2,yes,yes,yes,2,3
696,18,2,no,yes,yes,1,2
697,18,2,no,yes,no,3,2
698,18,3,yes,no,no,3,2
699,17,3,yes,no,no,2,3
700,18,3,yes,yes,yes,3,3
701,17,1,no,yes,no,4,4
702,18,2,yes,yes,no,2,5
703,17,2,yes,yes,yes,4,4
704,18,2,yes,yes,no,3,4
705,18,2,yes,yes,yes,4,5
706,18,2,no,yes,yes,3,5
707,19,2,yes,yes,no,3,5
708,18,4,yes,yes,yes,5,5
709,18,2,no,no,no,4,3
710,17,2,yes,no,yes,5,2
711,18,2,no,yes,yes,2,5
712,17,2,no,yes,yes,3,3
713,17,2,no,yes,yes,4,4
714,18,2,no,yes,yes,1,1
715,18,1,yes,yes,no,2,4
716,18,2,yes,yes,yes,4,4
717,17,3,no,yes,yes,2,3
718,19,2,no,yes,no,3,3
719,18,1,yes,yes,no,2,3
720,18,1,no,yes,no,4,4
721,17,1,yes,yes,yes,5,4
722,17,1,no,yes,no,4,4
723,18,4,yes,no,no,2,2
724,18,2,yes,yes,no,4,4
725,17,2,no,yes,no,4,5
726,18,2,yes,yes,yes,3,1
727,17,2,no,yes,no,3,3
728,18,3,no,yes,no,3,3
729,17,3,no,yes,no,3,3
730,18,3,yes,yes,no,2,4
731,18,2,yes,yes,no,4,3
732,18,2,yes,yes,yes,3,2
733,17,3,no,yes,no,2,2
734,17,4,no,no,no,1,2
735,18,3,yes,yes,no,4,2
736,17,1,no,yes,no,4,3
737,19,2,yes,yes,no,3,4
738,18,2,no,yes,yes,4,5
739,18,4,no,yes,no,3,3
740,18,1,no,yes,yes,4,2
741,18,2,no,yes,yes,2,4
742,17,1,no,yes,no,1,1
743,17,3,yes,yes,no,3,4
744,17,3,no,yes,no,3,3
745,17,4,yes,yes,no,2,2
746,19,3,yes,yes,yes,3,1
747,20,1,yes,no,no,5,3
748,19,2,yes,no,yes,5,3
749,18,2,no,no,yes,4,4
750,18,2,yes,yes,no,3,3
751,17,2,yes,yes,yes,2,1
752,17,1,yes,yes,no,4,4
753,18,3,yes,yes,yes,3,4
754,18,1,no,yes,no,2,4
755,17,3,yes,yes,no,3,4
756,18,2,no,yes,no,1,4
757,19,2,yes,yes,yes,4,4
758,18,2,no,yes,no,4,4
759,18,1,yes,yes,yes,4,4
760,17,1,yes,yes,no,3,4
761,17,2,no,yes,yes,2,2
762,17,2,no,yes,no,3,3
763,17,2,yes,yes,no,2,3
764,18,1,no,yes,no,2,5
765,19,3,yes,no,yes,5,5
766,19,2,no,yes,yes,3,4
767,18,1,yes,yes,yes,3,5
768,17,2,no,no,yes,2,2
769,17,3,yes,yes,no,3,2
770,17,3,no,yes,no,4,3
771,17,3,no,yes,no,3,3
772,18,3,yes,yes,no,5,5
773,18,3,yes,yes,no,3,3
774,17,1,yes,yes,no,3,5
775,17,1,no,yes,no,4,5
776,17,3,yes,yes,no,4,4
777,17,3,no,yes,yes,3,3
778,17,1,yes,yes,no,2,5
779,18,4,yes,yes,no,5,5
780,19,1,no,no,yes,3,4
781,18,2,yes,no,yes,2,5
782,17,3,no,yes,yes,4,3
783,18,1,no,yes,no,4,2
784,18,2,yes,yes,no,3,4
785,18,2,yes,yes,yes,3,3
786,18,4,yes,no,no,4,4
787,17,3,no,yes,no,4,5
788,17,2,no,yes,yes,3,2
789,18,4,no,yes,no,3,3
