school,gender,age,study time,significant other,free time,social activities,weekday drinker,weekend drinker,health,totaldrinks,drinker,id
GP,M,15,2,no,4,4,1,1,1,2,0,105
GP,F,15,4,no,3,3,1,1,4,2,0,106
GP,F,15,4,no,1,2,1,1,3,2,0,107
GP,M,16,3,no,3,3,1,1,5,2,0,108
GP,M,15,4,yes,3,5,3,5,1,8,1,109
GP,F,16,3,yes,4,5,1,1,4,2,0,110
GP,M,15,1,no,5,3,1,1,4,2,0,111
GP,F,16,3,no,1,2,1,1,2,2,0,112
GP,F,16,2,no,1,2,1,1,5,2,0,113
GP,M,15,1,no,5,2,1,1,3,2,0,114
GP,M,15,2,yes,4,2,1,1,5,2,0,115
GP,M,16,2,no,4,4,1,2,5,3,0,116
GP,M,15,2,no,4,3,1,1,2,2,0,117
GP,M,16,1,no,4,2,1,1,5,2,0,118
GP,M,17,2,no,2,4,1,4,5,5,1,119
GP,M,15,1,no,4,3,1,2,4,3,0,120
GP,F,15,2,no,2,3,1,2,1,3,0,121
GP,M,15,4,no,5,4,1,2,5,3,0,122
GP,F,16,2,yes,2,2,1,2,5,3,0,123
GP,M,16,1,no,4,4,1,4,5,5,1,124
GP,F,16,2,yes,4,4,1,1,5,2,0,125
GP,M,15,1,no,5,5,3,2,5,5,1,126
GP,F,15,2,yes,3,2,1,1,1,2,0,127
GP,F,19,2,no,4,2,1,1,5,2,0,128
GP,M,18,1,no,3,3,1,2,4,3,0,129
GP,M,16,1,no,5,5,2,5,4,7,1,130
GP,F,15,3,yes,2,2,2,2,5,4,0,131
GP,F,15,1,yes,3,3,1,2,4,3,0,132
GP,F,17,1,yes,4,4,1,3,5,4,0,133
GP,F,16,1,no,2,1,1,4,5,5,1,134
GP,M,15,2,yes,3,3,1,1,5,2,0,135
GP,F,15,3,yes,3,3,1,1,5,2,0,136
GP,M,17,2,no,4,5,2,4,5,6,1,137
GP,F,16,1,yes,3,2,1,1,5,2,0,138
GP,M,16,2,yes,4,4,1,3,5,4,0,139
GP,F,15,1,no,3,2,1,1,5,2,0,140
GP,M,15,4,no,2,2,1,1,3,2,0,141
GP,M,16,1,no,3,3,2,2,2,4,0,142
GP,F,15,3,no,2,2,1,1,5,2,0,143
GP,F,16,1,no,4,4,3,3,1,6,1,144
GP,M,17,1,no,4,5,1,2,5,3,0,145
GP,F,15,2,no,4,2,1,2,5,3,0,146
GP,F,15,2,no,3,2,1,1,3,2,0,147
GP,F,15,2,no,3,2,1,1,5,2,0,148
GP,M,16,1,yes,3,2,2,1,5,3,0,149
GP,M,15,1,no,5,5,2,5,5,7,1,150
GP,M,18,1,yes,3,5,2,5,4,7,1,151
GP,M,16,1,yes,4,4,3,5,5,8,1,152
GP,F,15,3,yes,2,1,2,3,3,5,1,153
GP,M,19,1,yes,5,4,1,1,4,2,0,154
GP,F,17,1,yes,2,1,1,1,4,2,0,155
GP,M,15,2,no,4,4,1,1,1,2,0,156
GP,M,17,1,no,2,2,3,3,5,6,1,157
GP,F,18,1,no,2,5,1,5,4,6,1,158
GP,M,16,1,no,2,2,1,2,3,3,0,159
GP,M,16,2,yes,5,5,4,4,5,8,1,160
GP,M,17,1,yes,3,2,2,2,5,4,0,161
GP,M,15,2,yes,4,4,1,4,3,5,1,162
GP,M,16,1,no,4,4,2,4,5,6,1,163
GP,M,17,1,no,3,3,1,4,2,5,1,164
GP,M,17,2,yes,3,5,1,5,5,6,1,165
GP,M,16,1,no,5,2,1,1,2,2,0,166
GP,M,16,2,no,3,5,2,4,4,6,1,167
GP,F,16,2,yes,2,3,1,1,3,2,0,168
GP,F,16,2,no,1,5,1,1,4,2,0,169
GP,F,16,2,yes,4,2,1,1,3,2,0,170
GP,M,16,1,no,4,5,2,4,2,6,1,171
GP,M,16,2,yes,3,2,1,1,3,2,0,172
GP,M,17,2,no,4,4,1,3,5,4,0,173
GP,F,16,2,yes,3,5,1,1,3,2,0,174
GP,F,16,2,no,4,5,1,1,4,2,0,175
GP,M,17,2,no,4,4,4,4,4,8,1,176
GP,F,16,2,no,4,4,1,4,5,5,1,177
GP,M,17,2,no,3,4,1,4,4,5,1,178
GP,M,16,1,yes,3,3,3,4,3,7,1,179
GP,M,17,2,yes,2,3,1,1,2,2,0,180
GP,M,16,2,no,4,3,2,3,3,5,1,181
GP,M,16,2,yes,2,3,1,2,3,3,0,182
GP,F,17,2,no,4,2,2,3,5,5,1,183
GP,F,17,2,yes,3,3,2,3,1,5,1,184
GP,F,16,2,no,2,2,1,2,1,3,0,185
GP,M,17,2,yes,3,4,2,3,4,5,1,186
GP,M,16,1,yes,3,3,1,2,3,3,0,187
GP,M,16,2,yes,2,3,1,2,5,3,0,188
GP,F,17,2,yes,3,3,1,3,3,4,0,189
GP,M,17,2,no,1,3,1,5,3,6,1,190
GP,F,16,2,no,3,3,1,1,2,2,0,191
GP,F,17,2,no,3,3,1,1,3,2,0,192
GP,M,17,2,no,4,4,4,5,5,9,1,193
GP,M,16,1,no,3,2,3,4,5,7,1,194
GP,M,16,1,no,3,3,1,1,3,2,0,195
GP,F,17,2,yes,3,2,1,1,5,2,0,196
GP,M,17,1,no,2,3,1,2,5,3,0,197
GP,M,16,1,no,3,4,3,5,3,8,1,198
GP,F,17,1,no,2,4,2,3,2,5,1,199
GP,F,16,2,no,5,2,1,2,3,3,0,200
GP,F,16,2,no,3,5,1,5,2,6,1,201
GP,F,16,2,no,4,3,1,3,4,4,0,202
GP,F,17,2,no,4,4,1,3,1,4,0,203
GP,F,17,1,no,3,2,1,2,3,3,0,204
GP,F,16,4,no,3,5,1,1,5,2,0,205
GP,F,17,3,yes,4,3,3,4,5,7,1,206
GP,F,16,2,no,3,3,2,2,4,4,0,207
GP,F,16,2,yes,3,2,1,1,1,2,0,208
GP,F,16,1,no,3,2,1,4,5,5,1,209
GP,F,17,3,yes,4,2,1,1,4,2,0,210
GP,F,19,4,no,3,3,1,2,3,3,0,211
GP,M,17,2,yes,3,5,4,5,3,9,1,212
GP,F,16,2,no,3,4,1,1,4,2,0,213
GP,M,18,2,no,4,4,2,4,5,6,1,214
GP,F,17,1,no,2,1,1,2,3,3,0,215
GP,F,17,2,no,4,4,1,3,1,4,0,216
GP,F,17,2,yes,4,5,2,4,1,6,1,217
GP,M,18,2,no,2,4,2,4,4,6,1,218
GP,F,17,1,no,3,3,1,4,3,5,1,219
GP,F,17,3,no,3,3,1,1,4,2,0,220
GP,F,17,2,no,2,5,1,2,5,3,0,221
GP,F,17,3,yes,3,4,1,1,5,2,0,222
GP,F,16,2,no,3,1,1,1,3,2,0,223
GP,M,18,2,no,3,3,5,5,4,10,1,224
GP,F,16,3,no,3,2,1,1,5,2,0,225
GP,F,18,2,yes,3,3,1,1,4,2,0,226
GP,F,17,2,no,3,4,1,3,3,4,0,227
GP,M,17,2,no,3,3,1,3,3,4,0,228
GP,M,18,2,yes,3,2,4,5,3,9,1,229
GP,F,17,3,yes,2,3,1,2,3,3,0,230
GP,F,17,2,yes,2,3,1,2,3,3,0,231
GP,M,17,2,no,5,2,1,1,1,2,0,232
GP,M,17,2,yes,5,5,1,3,2,4,0,233
GP,M,16,2,no,2,4,2,4,1,6,1,234
GP,M,16,2,no,4,2,1,1,5,2,0,235
GP,M,16,3,yes,3,3,1,3,2,4,0,236
GP,M,17,2,yes,4,2,5,5,4,10,1,237
GP,F,16,1,yes,5,2,1,1,5,2,0,238
GP,F,17,2,no,1,1,1,1,3,2,0,239
GP,M,18,2,no,5,4,3,5,2,8,1,240
GP,M,17,2,yes,5,5,1,4,5,5,1,241
GP,M,17,2,no,3,3,2,3,4,5,1,242
GP,M,16,1,no,4,5,1,1,3,2,0,243
GP,M,16,1,no,3,2,1,2,5,3,0,244
GP,F,18,3,yes,4,4,1,1,3,2,0,245
GP,M,16,1,no,3,3,1,1,4,2,0,246
GP,M,17,1,no,2,2,1,1,2,2,0,247
GP,M,22,1,yes,4,5,5,5,1,10,1,248
GP,M,18,2,yes,3,3,1,3,5,4,0,249
GP,M,16,1,no,3,2,2,4,5,6,1,250
GP,M,18,1,no,4,5,2,4,5,6,1,251
GP,M,16,2,no,3,3,1,3,2,4,0,252
GP,M,18,1,no,2,5,2,5,5,7,1,253
GP,M,16,1,no,3,2,1,3,3,4,0,254
GP,M,17,1,no,4,2,2,4,5,6,1,255
GP,M,17,1,no,4,4,1,2,5,3,0,256
GP,F,17,4,no,2,3,1,1,4,2,0,257
GP,M,19,2,no,3,1,1,1,1,2,0,258
GP,M,18,2,no,2,4,1,2,4,3,0,259
GP,F,17,4,yes,4,1,1,1,2,2,0,260
GP,F,18,2,yes,1,2,1,3,2,4,0,261
GP,M,18,2,no,3,2,1,1,3,2,0,262
GP,M,18,3,no,3,2,1,1,3,2,0,263
GP,F,17,3,no,2,3,1,1,4,2,0,264
GP,F,18,3,yes,3,3,1,1,3,2,0,265
GP,M,18,2,no,2,5,3,4,1,7,1,266
GP,M,17,2,yes,4,4,3,4,5,7,1,267
GP,F,18,2,no,3,4,2,2,4,4,0,268
GP,M,18,2,yes,4,5,1,3,5,4,0,269
GP,F,18,2,yes,3,5,1,2,3,3,0,270
GP,F,19,2,no,3,5,3,3,5,6,1,271
GP,F,18,4,yes,5,5,1,3,2,4,0,272
GP,F,18,2,no,4,3,1,1,3,2,0,273
GP,M,17,2,yes,5,2,2,2,1,4,0,274
GP,F,17,2,yes,3,3,1,1,1,2,0,275
GP,F,17,2,yes,4,4,2,3,5,5,1,276
GP,F,18,2,yes,1,1,1,1,5,2,0,277
GP,M,18,1,no,2,4,1,4,3,5,1,278
GP,F,18,2,yes,4,4,1,1,4,2,0,279
GP,M,18,1,no,2,3,1,2,1,3,0,280
GP,M,17,1,yes,5,4,2,4,5,6,1,281
GP,M,17,1,no,4,4,3,4,3,7,1,282
GP,F,18,4,no,2,2,1,1,3,2,0,283
GP,F,18,2,no,4,4,1,1,4,2,0,284
GP,F,17,2,no,4,5,1,2,5,3,0,285
GP,M,17,2,no,3,3,1,2,4,3,0,286
GP,F,18,3,no,3,3,1,2,2,3,0,287
GP,F,17,3,no,3,3,1,1,3,2,0,288
GP,M,18,3,no,2,4,1,3,2,4,0,289
GP,M,18,2,no,4,3,1,1,2,2,0,290
GP,M,18,2,yes,3,2,1,4,5,5,1,291
GP,F,17,3,no,2,2,1,2,3,3,0,292
GP,F,18,2,yes,4,3,1,1,5,2,0,293
GP,F,17,4,no,1,2,1,1,3,2,0,294
GP,M,18,3,no,4,2,1,1,4,2,0,295
GP,M,17,1,no,4,3,1,3,5,4,0,296
GP,F,19,2,no,3,4,2,3,2,5,1,297
GP,F,18,2,yes,4,5,1,2,2,3,0,298
GP,F,18,4,no,3,3,1,1,3,2,0,299
GP,M,18,1,yes,4,2,2,2,1,4,0,300
GP,F,18,2,yes,2,4,1,1,4,2,0,301
GP,M,17,1,no,1,1,2,2,5,4,0,302
GP,F,17,3,no,3,3,1,1,3,2,0,303
GP,F,17,4,no,2,2,1,2,5,3,0,304
GP,M,19,2,yes,4,4,1,1,3,2,0,305
GP,F,18,2,no,4,3,1,1,3,2,0,306
GP,M,20,1,no,5,3,1,1,5,2,0,307
GP,M,19,1,yes,3,4,1,1,4,2,0,308
GP,M,19,2,yes,5,3,1,2,5,3,0,309
GP,F,19,2,no,4,3,1,3,3,4,0,310
GP,F,19,2,yes,2,4,2,2,3,4,0,311
GP,F,19,2,yes,4,1,1,1,2,2,0,312
GP,M,19,2,no,5,2,2,2,4,4,0,313
GP,F,19,2,yes,2,2,1,2,1,3,0,314
GP,F,19,3,yes,1,2,1,1,3,2,0,315
GP,F,19,3,yes,1,2,1,1,3,2,0,316
GP,F,18,2,no,3,3,1,2,1,3,0,317
GP,F,18,3,yes,3,4,1,1,5,2,0,318
GP,F,17,3,no,3,4,2,5,5,7,1,319
GP,F,18,2,no,4,4,3,3,5,6,1,320
GP,F,17,2,yes,2,2,1,2,5,3,0,321
GP,F,17,2,yes,2,2,1,1,3,2,0,322
GP,F,17,3,no,3,2,2,2,3,4,0,323
GP,F,17,3,no,4,3,2,3,5,5,1,324
GP,F,17,3,no,3,3,2,3,2,5,1,325
GP,M,18,3,no,3,3,2,2,3,4,0,326
GP,M,17,1,no,3,5,3,5,5,8,1,327
GP,M,17,1,no,4,5,5,5,4,10,1,328
GP,F,17,3,no,4,4,1,3,4,4,0,329
GP,F,17,3,yes,3,3,1,2,4,3,0,330
GP,M,18,4,no,5,5,2,4,5,6,1,331
GP,F,17,3,yes,4,3,1,1,5,2,0,332
GP,F,18,2,no,3,4,1,1,4,2,0,333
GP,F,18,2,yes,3,3,1,1,2,2,0,334
GP,F,18,4,no,4,4,1,1,4,2,0,335
GP,F,17,3,no,4,5,1,3,5,4,0,336
GP,F,19,3,no,4,3,1,2,5,3,0,337
GP,F,17,2,yes,3,2,2,3,2,5,1,338
GP,F,18,4,no,3,3,1,1,1,2,0,339
GP,F,17,2,no,3,3,2,3,2,5,1,340
GP,F,19,3,yes,3,4,1,3,3,4,0,341
GP,M,18,2,no,3,3,2,2,2,4,0,342
GP,M,18,2,yes,3,3,1,3,5,4,0,343
GP,F,17,2,yes,3,1,1,2,4,3,0,344
GP,F,18,3,no,3,3,1,2,3,3,0,345
GP,F,18,3,yes,4,3,2,3,1,5,1,346
GP,M,18,3,yes,3,2,1,2,4,3,0,347
GP,M,18,3,yes,4,5,2,3,5,5,1,348
GP,F,17,3,yes,4,3,1,3,4,4,0,349
MS,M,18,1,no,5,5,5,5,5,10,1,350
MS,M,19,2,no,4,4,3,3,2,6,1,351
MS,M,17,2,no,5,4,2,3,3,5,1,352
MS,M,18,1,yes,3,3,2,3,3,5,1,353
MS,M,19,1,no,4,4,3,3,5,6,1,354
MS,M,17,2,yes,5,5,1,3,2,4,0,355
MS,F,18,2,yes,3,4,1,1,5,2,0,356
MS,F,17,2,no,3,3,1,2,5,3,0,357
MS,F,17,2,yes,2,3,1,2,5,3,0,358
MS,M,18,1,yes,3,2,1,2,3,3,0,359
MS,F,18,3,no,3,2,1,1,4,2,0,360
MS,F,18,2,yes,3,4,1,4,5,5,1,361
MS,M,18,2,no,4,3,2,3,5,5,1,362
MS,F,18,2,yes,3,2,1,3,3,4,0,363
MS,F,17,2,yes,3,4,1,1,1,2,0,364
MS,F,17,2,no,2,2,1,2,3,3,0,365
MS,M,18,2,no,3,4,2,4,3,6,1,366
MS,M,18,3,yes,2,2,2,2,5,4,0,367
MS,F,17,1,yes,2,1,1,2,1,3,0,368
MS,F,18,1,yes,2,3,1,2,4,3,0,369
MS,F,18,2,yes,2,2,4,2,5,6,1,370
MS,F,19,2,yes,2,2,1,1,3,2,0,371
MS,M,18,1,yes,3,3,2,3,3,5,1,372
MS,F,17,3,yes,4,3,1,1,3,2,0,373
MS,F,17,1,no,5,5,1,3,1,4,0,374
MS,F,18,3,no,4,4,1,1,1,2,0,375
MS,F,18,3,no,3,2,1,2,4,3,0,376
MS,F,20,3,yes,4,3,1,1,3,2,0,377
MS,F,18,2,no,4,3,3,4,2,7,1,378
MS,F,18,2,yes,1,3,1,2,1,3,0,379
MS,F,17,2,no,5,4,2,3,1,5,1,380
MS,M,18,2,no,2,4,1,4,2,5,1,381
MS,M,18,1,yes,4,3,1,3,5,4,0,382
MS,M,17,2,no,4,3,1,1,3,2,0,383
MS,M,19,1,no,3,2,1,3,5,4,0,384
MS,M,18,1,no,4,3,4,3,3,7,1,385
MS,F,18,3,no,3,3,1,3,4,4,0,386
MS,F,18,1,yes,4,3,2,2,5,4,0,387
MS,F,19,3,no,4,2,1,2,5,3,0,388
MS,F,18,2,no,3,4,1,1,1,2,0,389
MS,F,18,2,no,1,1,1,1,5,2,0,390
MS,M,20,2,no,5,4,4,5,4,9,1,391
MS,M,17,1,no,4,5,3,4,2,7,1,392
MS,M,21,1,no,5,3,3,3,3,6,1,393
MS,M,18,1,no,4,1,3,4,5,7,1,394
MS,M,19,1,no,2,3,3,3,5,6,1,395
GP,F,18,2,no,3,4,1,1,3,2,0,396
GP,F,17,2,no,3,3,1,1,3,2,0,397
GP,F,15,2,no,3,2,2,3,3,5,1,398
GP,F,15,3,yes,2,2,1,1,5,2,0,399
GP,F,16,2,no,3,2,1,2,5,3,0,400
GP,M,16,2,no,4,2,1,2,5,3,0,401
GP,M,16,2,no,4,4,1,1,3,2,0,402
GP,F,17,2,no,1,4,1,1,1,2,0,403
GP,M,15,2,no,2,2,1,1,1,2,0,404
GP,M,15,2,no,5,1,1,1,5,2,0,405
GP,F,15,2,no,3,3,1,2,2,3,0,406
GP,F,15,3,no,2,2,1,1,4,2,0,407
GP,M,15,1,no,3,3,1,3,5,4,0,408
GP,M,15,2,no,4,3,1,2,3,3,0,409
GP,M,15,3,yes,5,2,1,1,3,2,0,410
GP,F,16,1,no,4,4,1,2,2,3,0,411
GP,F,16,3,no,2,3,1,2,2,3,0,412
GP,F,16,2,no,3,2,1,1,4,2,0,413
GP,M,17,1,no,5,5,2,4,5,6,1,414
GP,M,16,1,no,1,3,1,3,5,4,0,415
GP,M,15,2,no,4,1,1,1,1,2,0,416
GP,M,15,1,no,4,2,1,1,5,2,0,417
GP,M,16,2,no,5,1,1,3,5,4,0,418
GP,M,16,2,no,4,4,2,4,5,6,1,419
GP,F,15,3,no,3,2,1,1,5,2,0,420
GP,F,16,1,no,2,2,1,3,5,4,0,421
GP,M,15,1,no,2,2,1,2,5,3,0,422
GP,M,15,1,no,2,4,2,4,1,6,1,423
GP,M,16,2,no,3,3,1,1,5,2,0,424
GP,M,16,2,yes,4,5,5,5,5,10,1,425
GP,M,15,2,no,4,2,3,4,5,7,1,426
GP,M,15,2,no,3,1,1,1,5,2,0,427
GP,M,15,2,yes,5,2,1,1,5,2,0,428
GP,M,15,2,no,3,2,1,1,2,2,0,429
GP,M,16,1,no,4,3,1,1,5,2,0,430
GP,F,15,1,no,5,1,1,1,5,2,0,431
GP,M,15,3,no,4,3,1,1,4,2,0,432
GP,M,16,3,yes,4,3,1,1,5,2,0,433
GP,F,15,3,no,3,2,1,1,5,2,0,434
GP,F,15,1,no,3,1,1,1,2,2,0,435
GP,F,16,2,yes,3,3,1,2,3,3,0,436
GP,M,15,1,yes,4,3,2,4,5,6,1,437
GP,M,15,2,no,3,3,1,1,5,2,0,438
GP,M,15,1,no,4,1,1,1,1,2,0,439
GP,F,16,2,no,3,3,2,2,5,4,0,440
GP,F,15,2,yes,2,2,1,1,5,2,0,441
GP,F,16,2,no,3,5,1,4,3,5,1,442
GP,M,16,4,no,2,2,1,1,2,2,0,443
GP,M,15,2,no,3,3,2,2,5,4,0,444
GP,F,15,2,no,4,4,1,1,3,2,0,445
GP,F,16,2,no,3,3,2,3,4,5,1,446
GP,F,15,2,no,3,3,1,1,5,2,0,447
GP,M,15,1,no,5,5,3,4,5,7,1,448
GP,F,15,1,no,3,4,2,3,5,5,1,449
GP,F,15,1,no,3,4,4,4,1,8,1,450
GP,F,16,2,yes,3,4,1,1,2,2,0,451
GP,F,15,2,no,3,2,1,1,1,2,0,452
GP,M,15,2,no,2,2,1,1,5,2,0,453
GP,M,15,2,no,3,2,1,1,5,2,0,454
GP,F,16,2,no,2,3,1,1,5,2,0,455
GP,F,16,2,no,4,4,2,3,4,5,1,456
GP,F,16,1,yes,5,5,5,5,5,10,1,457
GP,F,16,2,no,4,3,1,1,1,2,0,458
GP,F,16,3,no,4,4,2,4,4,6,1,459
GP,F,15,2,yes,4,4,2,4,2,6,1,460
GP,F,16,2,no,4,3,1,2,1,3,0,461
GP,M,15,4,yes,3,3,5,5,3,10,1,462
GP,F,16,4,no,3,3,1,2,5,3,0,463
GP,F,15,2,no,1,3,1,3,4,4,0,464
GP,F,15,4,no,4,2,2,3,3,5,1,465
GP,M,16,4,no,3,2,1,1,5,2,0,466
GP,M,15,4,no,3,3,1,1,3,2,0,467
GP,F,15,2,yes,3,4,2,4,5,6,1,468
GP,M,16,1,no,3,2,2,2,5,4,0,469
GP,F,16,2,no,3,3,2,4,5,6,1,470
GP,M,15,2,no,3,3,2,3,5,5,1,471
GP,M,15,4,no,4,3,1,1,1,2,0,472
GP,F,16,4,yes,2,3,1,3,3,4,0,473
GP,M,17,1,no,5,1,1,1,3,2,0,474
GP,F,16,2,no,4,3,1,2,3,3,0,475
GP,M,15,1,yes,2,2,1,3,3,4,0,476
GP,M,15,3,no,3,2,1,2,5,3,0,477
GP,F,15,2,no,4,4,1,1,5,2,0,478
GP,M,15,2,no,3,3,1,3,4,4,0,479
GP,F,15,2,no,3,2,2,3,4,5,1,480
GP,F,15,2,yes,4,4,2,3,5,5,1,481
GP,F,16,2,no,3,4,1,2,2,3,0,482
GP,F,15,3,no,3,3,1,3,1,4,0,483
GP,M,16,2,no,4,2,1,1,3,2,0,484
GP,M,16,2,no,1,3,3,5,5,8,1,485
GP,F,16,3,yes,3,3,1,3,4,4,0,486
GP,F,15,1,no,5,5,1,3,1,4,0,487
GP,F,16,2,no,3,3,2,3,2,5,1,488
GP,F,16,2,no,3,3,1,1,1,2,0,489
GP,M,15,4,no,3,4,1,1,4,2,0,490
GP,F,15,4,no,1,2,1,1,1,2,0,491
GP,M,16,1,no,3,3,1,1,4,2,0,492
GP,F,16,2,yes,3,5,1,1,5,2,0,493
GP,F,16,1,no,3,4,1,2,1,3,0,494
GP,F,16,3,no,3,5,1,1,3,2,0,495
GP,M,16,1,no,5,5,5,5,4,10,1,496
GP,M,16,3,yes,4,3,1,1,4,2,0,497
GP,M,15,1,no,3,3,1,1,5,2,0,498
GP,F,15,2,no,3,5,1,1,2,2,0,499
GP,M,15,2,no,4,4,1,1,1,2,0,500
GP,F,15,4,no,3,3,1,1,4,2,0,501
GP,F,15,4,no,1,2,1,1,3,2,0,502
GP,M,16,3,no,3,3,1,1,5,2,0,503
GP,M,15,4,yes,3,5,3,5,1,8,1,504
GP,F,16,3,yes,4,5,1,1,4,2,0,505
GP,M,15,1,no,5,3,1,1,4,2,0,506
GP,F,16,3,no,1,2,1,1,2,2,0,507
GP,F,16,2,no,1,2,1,1,5,2,0,508
GP,M,15,1,no,5,2,1,1,3,2,0,509
